Neighborhoods,Latitude,Longitude
Alta Mesa, 34.4084644,-119.7250226
Bel Air, 34.4206648,-119.7382657
Campanil, 34.4125978,-119.7556842 
Cielito, 34.4514633,-119.6928509 
Coast Village, 34.4231074,-119.6474754 
Downtown, 34.4220502,-119.7086367 
East Beach, 34.4185639,-119.6813797 
East Mesa, 34.4002921,-119.7152117 
East San Roque, 34.4444477,-119.7315788 
Eastside, 34.4003311,-119.7148832 
Eucalyptus Hill, 34.4314904,-119.6714084 
Foothill, 34.4541803,-119.7355981 
Hidden Valley, 34.4253318,-119.7572012 
Hitchcock, 34.4322109,-119.7448737 
Hope Ranch, 34.4219569,-119.7787548
Hope, 34.4487818,-119.7593081 
Laguna, 34.4271913,-119.700211 
Lower Riviera, 34.4347133,-119.707776
Lower State, 34.4170268,-119.6977983 
Milpas, 34.4267048,-119.6861915 
Mission Canyon, 34.4523318,-119.7225573
Oak Park, 34.4291339,-119.7261492
Riviera, 34.4377634,-119.7022404 
Samarkand, 34.4331999,-119.7343209 
San Roque, 34.4475369,-119.7452652 
Upper East, 34.4338158,-119.7215736 
Waterfront, 34.4092929,-119.6882241 
West Beach, 34.408144,-119.7017992 
West Mesa, 34.4003895,-119.7373992
Westside, 34.4204219,-119.7295178 

